CUSTOM_NODE,YEAR,VALUE
IDNSM,2021,156.12
IDNNU,2021,29.37
IDNJW,2021,644.70
IDNSL,2021,43.62
IDNKA,2021,42.66
IDNML,2021,4.39
IDNPP,2021,6.56
IDNSM,2022,178.80
IDNNU,2022,31.87
IDNJW,2022,681.41
IDNSL,2022,45.60
IDNKA,2022,45.87
IDNML,2022,5.21
IDNPP,2022,7.78
IDNSM,2023,190.63
IDNNU,2023,33.44
IDNJW,2023,710.99
IDNSL,2023,48.74
IDNKA,2023,50.51
IDNML,2023,5.72
IDNPP,2023,8.53
IDNSM,2024,203.90
IDNNU,2024,35.49
IDNJW,2024,742.79
IDNSL,2024,51.64
IDNKA,2024,56.23
IDNML,2024,6.41
IDNPP,2024,9.54
IDNSM,2025,217.45
IDNNU,2025,37.31
IDNJW,2025,777.46
IDNSL,2025,54.64
IDNKA,2025,61.25
IDNML,2025,7.00
IDNPP,2025,10.41
IDNSM,2026,230.51
IDNNU,2026,39.53
IDNJW,2026,810.61
IDNSL,2026,57.81
IDNKA,2026,67.42
IDNML,2026,7.73
IDNPP,2026,11.51
IDNSM,2027,244.07
IDNNU,2027,40.93
IDNJW,2027,843.33
IDNSL,2027,60.97
IDNKA,2027,72.83
IDNML,2027,8.18
IDNPP,2027,12.16
IDNSM,2028,258.41
IDNNU,2028,42.42
IDNJW,2028,876.02
IDNSL,2028,64.19
IDNKA,2028,78.30
IDNML,2028,8.65
IDNPP,2028,12.86
IDNSM,2029,272.82
IDNNU,2029,43.96
IDNJW,2029,910.13
IDNSL,2029,67.59
IDNKA,2029,83.03
IDNML,2029,9.14
IDNPP,2029,13.59
IDNSM,2030,287.95
IDNNU,2030,45.58
IDNJW,2030,946.31
IDNSL,2030,71.21
IDNKA,2030,87.32
IDNML,2030,9.65
IDNPP,2030,14.36
IDNSM,2031,303.96
IDNNU,2031,47.28
IDNJW,2031,984.89
IDNSL,2031,75.02
IDNKA,2031,91.84
IDNML,2031,10.19
IDNPP,2031,15.15
IDNSM,2032,321.00
IDNNU,2032,49.06
IDNJW,2032,1026.42
IDNSL,2032,79.02
IDNKA,2032,96.65
IDNML,2032,10.76
IDNPP,2032,16.01
IDNSM,2033,339.13
IDNNU,2033,50.94
IDNJW,2033,1071.23
IDNSL,2033,83.26
IDNKA,2033,101.76
IDNML,2033,11.37
IDNPP,2033,16.91
IDNSM,2034,358.40
IDNNU,2034,52.92
IDNJW,2034,1119.59
