technology,weo_region,parameter,2019,2030,2040
Biogas - DG Industry,Europe,"Annual O&M Costs
($2019 per kW)",95,95,90
Biogas - DG Industry,United States,"Annual O&M Costs
($2019 per kW)",105,105,100
Biogas - DG Industry,Japan,"Annual O&M Costs
($2019 per kW)",100,100,95
Biogas - DG Industry,Russia,"Annual O&M Costs
($2019 per kW)",100,100,100
Biogas - DG Industry,China,"Annual O&M Costs
($2019 per kW)",70,70,70
Biogas - DG Industry,India,"Annual O&M Costs
($2019 per kW)",85,80,80
Biogas - DG Industry,Middle East,"Annual O&M Costs
($2019 per kW)",100,95,95
Biogas - DG Industry,Africa,"Annual O&M Costs
($2019 per kW)",95,90,90
Biogas - DG Industry,Brazil,"Annual O&M Costs
($2019 per kW)",90,85,85
Biomass - waste incineration - CHP,Europe,"Annual O&M Costs
($2019 per kW)",280,280,270
Biomass - waste incineration - CHP,United States,"Annual O&M Costs
($2019 per kW)",300,290,290
Biomass - waste incineration - CHP,Japan,"Annual O&M Costs
($2019 per kW)",320,300,300
Biomass - waste incineration - CHP,Russia,"Annual O&M Costs
($2019 per kW)",310,300,300
Biomass - waste incineration - CHP,China,"Annual O&M Costs
($2019 per kW)",220,210,210
Biomass - waste incineration - CHP,India,"Annual O&M Costs
($2019 per kW)",250,250,240
Biomass - waste incineration - CHP,Middle East,"Annual O&M Costs
($2019 per kW)",260,250,250
Biomass - waste incineration - CHP,Africa,"Annual O&M Costs
($2019 per kW)",280,270,270
Biomass - waste incineration - CHP,Brazil,"Annual O&M Costs
($2019 per kW)",260,250,250
Biomass CHP Medium,Europe,"Annual O&M Costs
($2019 per kW)",140,135,135
Biomass CHP Medium,United States,"Annual O&M Costs
($2019 per kW)",150,145,145
Biomass CHP Medium,Japan,"Annual O&M Costs
($2019 per kW)",145,140,140
Biomass CHP Medium,Russia,"Annual O&M Costs
($2019 per kW)",130,125,125
Biomass CHP Medium,China,"Annual O&M Costs
($2019 per kW)",95,90,90
Biomass CHP Medium,India,"Annual O&M Costs
($2019 per kW)",105,105,105
Biomass CHP Medium,Middle East,"Annual O&M Costs
($2019 per kW)",110,105,105
Biomass CHP Medium,Africa,"Annual O&M Costs
($2019 per kW)",105,105,100
Biomass CHP Medium,Brazil,"Annual O&M Costs
($2019 per kW)",110,105,105
Biomass CHP Small,Europe,"Annual O&M Costs
($2019 per kW)",200,190,190
Biomass CHP Small,United States,"Annual O&M Costs
($2019 per kW)",210,210,200
Biomass CHP Small,Japan,"Annual O&M Costs
($2019 per kW)",200,200,190
Biomass CHP Small,Russia,"Annual O&M Costs
($2019 per kW)",190,180,180
Biomass CHP Small,China,"Annual O&M Costs
($2019 per kW)",140,140,130
Biomass CHP Small,India,"Annual O&M Costs
($2019 per kW)",170,170,170
Biomass CHP Small,Middle East,"Annual O&M Costs
($2019 per kW)",190,180,170
Biomass CHP Small,Africa,"Annual O&M Costs
($2019 per kW)",180,170,170
Biomass CHP Small,Brazil,"Annual O&M Costs
($2019 per kW)",190,180,180
Biomass Cofiring,Europe,"Annual O&M Costs
($2019 per kW)",20,20,20
Biomass Cofiring,United States,"Annual O&M Costs
($2019 per kW)",25,25,25
Biomass Cofiring,Japan,"Annual O&M Costs
($2019 per kW)",25,20,20
Biomass Cofiring,Russia,"Annual O&M Costs
($2019 per kW)",20,20,20
Biomass Cofiring,China,"Annual O&M Costs
($2019 per kW)",15,15,15
Biomass Cofiring,India,"Annual O&M Costs
($2019 per kW)",20,20,20
Biomass Cofiring,Middle East,"Annual O&M Costs
($2019 per kW)",20,20,20
Biomass Cofiring,Africa,"Annual O&M Costs
($2019 per kW)",20,20,20
Biomass Cofiring,Brazil,"Annual O&M Costs
($2019 per kW)",20,20,20
Biomass Power plant,Europe,"Annual O&M Costs
($2019 per kW)",85,80,80
